rate_marriage,age,yrs_married,children,religious,educ,occupation,occupation_husb,affairs
2.0,22.0,6.0,2.0,3.0,12.0,3.0,4.0,2.0
4.0,32.0,16.5,3.0,4.0,14.0,3.0,3.0,0.0606061
2.0,37.0,23.0,3.0,3.0,12.0,3.0,2.0,0.1521739
5.0,27.0,6.0,2.0,2.0,12.0,4.0,4.0,0.5833333
5.0,32.0,16.5,2.0,2.0,17.0,4.0,3.0,0.0606061
3.0,32.0,16.5,2.0,2.0,12.0,4.0,4.0,1.1878777
4.0,27.0,9.0,2.0,3.0,12.0,3.0,4.0,0.8888888
4.0,32.0,16.5,1.0,3.0,14.0,5.0,2.0,1.696969
4.0,27.0,9.0,2.0,2.0,16.0,4.0,5.0,2.1777763
4.0,22.0,2.5,0.0,1.0,16.0,3.0,2.0,0.4
3.0,37.0,23.0,4.0,2.0,14.0,3.0,5.0,0.8521735
5.0,27.0,13.0,2.0,2.0,12.0,2.0,5.0,0.9423077
5.0,32.0,16.5,4.0,3.0,14.0,3.0,4.0,0.7272727
2.0,37.0,16.5,3.0,2.0,14.0,5.0,3.0,0.2121212
5.0,32.0,6.0,1.0,3.0,14.0,3.0,5.0,0.5833333
3.0,22.0,2.5,0.0,2.0,16.0,3.0,3.0,4.8999996
5.0,22.0,2.5,0.0,3.0,16.0,3.0,2.0,4.7999992
2.0,32.0,13.0,1.0,2.0,12.0,3.0,2.0,1.5076914
3.0,42.0,13.0,0.0,3.0,17.0,5.0,2.0,1.5076914
3.0,22.0,2.5,0.0,1.0,16.0,3.0,5.0,7.8399963
3.0,42.0,23.0,3.0,2.0,17.0,4.0,4.0,1.217391
2.0,27.0,13.0,2.0,1.0,14.0,3.0,5.0,4.9230766
4.0,22.0,2.5,1.0,1.0,14.0,3.0,1.0,1.3999996
5.0,22.0,2.5,1.0,3.0,14.0,4.0,5.0,0.4
4.0,42.0,23.0,1.0,3.0,14.0,3.0,2.0,0.1521739
5.0,32.0,9.0,2.0,1.0,17.0,6.0,6.0,2.1777763
4.0,32.0,16.5,3.0,2.0,12.0,3.0,2.0,2.545454
3.0,27.0,2.5,1.0,3.0,14.0,3.0,6.0,1.3999996
3.0,37.0,16.5,4.0,2.0,14.0,3.0,2.0,0.2121212
3.0,32.0,16.5,3.0,3.0,14.0,3.0,5.0,0.7424242
3.0,32.0,23.0,3.0,3.0,14.0,3.0,2.0,1.217391
5.0,22.0,2.5,0.0,1.0,12.0,2.0,2.0,1.3999996
3.0,32.0,16.5,3.0,2.0,12.0,5.0,5.0,4.0727262
4.0,27.0,2.5,0.0,1.0,17.0,4.0,3.0,1.3999996
3.0,27.0,6.0,0.0,2.0,20.0,6.0,6.0,3.2666645
5.0,27.0,13.0,0.0,3.0,14.0,3.0,4.0,0.0769231
5.0,37.0,16.5,3.0,4.0,14.0,5.0,5.0,0.2121212
4.0,37.0,16.5,3.0,1.0,14.0,3.0,3.0,0.7272727
5.0,32.0,13.0,1.0,3.0,14.0,5.0,2.0,3.2307692
4.0,27.0,6.0,0.0,2.0,14.0,3.0,6.0,2.0
3.0,27.0,0.5,0.0,1.0,14.0,3.0,3.0,24.0
3.0,22.0,2.5,2.0,3.0,14.0,2.0,2.0,4.8999996
4.0,37.0,23.0,4.0,4.0,12.0,3.0,3.0,0.1521739
5.0,32.0,16.5,2.0,3.0,14.0,4.0,5.0,1.1878777
5.0,32.0,13.0,3.0,3.0,14.0,3.0,6.0,0.9230769
